xdata,mlydata
0.0600067353864116,-0.605035881690336
0.0629834311170529,-0.589570496381261
0.0661077888962253,-0.574739835624146
0.0693871336514824,-0.560543899418991
0.0728291536709313,-0.546982687765795
0.0764419186281059,-0.534056200664559
0.0802338985009826,-0.521764438115282
0.0842139834294932,-0.510107400117966
0.0883915045580903,-0.499085086672609
0.0927762559122293,-0.488697497779211
0.0973785173600559,-0.478944633437774
0.102209078713132,-0.469826493648296
0.107279265022702,-0.461343078410778
0.112600963130806,-0.453494387725219
0.118186649538494,-0.446280421591621
0.124049419656458,-0.439701180009982
0.130203018506688,-0.433756662980302
0.136661872947106,-0.428446870502583
0.143441125494732,-0.423771802576823
0.150556669826698,-0.419731459203022
0.158025188042308,-0.416325840381182
0.165864189773534,-0.413554946111301
0.174092053235624,-0.41141877639338
0.182728068314065,-0.409917331227419
0.191792481788923,-0.409050610613417
0.20130654480258,-0.408818614551375
0.211292562682161,-0.409221343041293
0.221773947233447,-0.41025879608317
0.232775271628888,-0.411930973677007
0.244322328018386,-0.414237875822804
0.256442187997926,-0.41717950252056
0.269163266077815,-0.420755853770277
0.282515386299318,-0.424966929571952
0.296529852155897,-0.429812729925588
0.311239519982953,-0.435293254831183
0.326678875988144,-0.441408504288738
0.342884117102874,-0.448158478298253
0.3598932358445,-0.455543176859728
0.377746109388219,-0.463562599973162
0.396484593057452,-0.472216747638556
0.416152618451922,-0.481505619855909
0.436796296443469,-0.491429216625222
0.458464025281082,-0.501987537946495
0.481206604058595,-0.513180583819728
0.505077351811054,-0.52500835424492
0.530132232518996,-0.537470849222072
0.55642998631368,-0.550568068751184
0.5840322671909,-0.564300012832256
0.613003787556221,-0.578666681465287
0.643412469940545,-0.593668074650278
0.675329606241666,-0.609304192387228
0.70883002486518,-0.625575034676138
0.743992266156586,-0.642480601517008
0.780898766535874,-0.660020892909838
0.819636051766304,-0.678195908854627
0.860294939810478,-0.697005649351376
0.902970753749291,-0.716450114400085
0.947763545262961,-0.736529304000754
0.949158475391046,-0.747083323857491
0.981892908066589,-0.729294032267054
1.01575628086159,-0.764056138526266
1.05078752849063,-0.807025211919446
1.08702692844278,-0.84703037359103
1.12451614729104,-0.843237384573891
1.16329828859879,-0.878629359662732
1.20341794247853,-0.872526760675878
1.24492123685977,-0.852782702480121
1.28785589052501,-0.928503416418239
1.33227126797483,-0.940147397581947
1.37821843618519,-1.03764788584331
1.42575022332212,-1.08769392493572
1.47492127948136,-1.08769392493572
1.52578813952285,-1.1557471979213
1.57840928807212,-1.1879318812927
1.63284522676357,-1.23648227203755
1.6891585438027,-1.22269398755192
1.74741398592752,-1.30187523359954
1.80767853285166,-1.25557521394657
1.87002147427488,-1.33573350086051
1.93451448954954,-1.34164236047103
2.00123173009458,-1.33573350086051
2.07024990465173,-1.318474495419
2.14164836748214,-1.29648020171283
2.21550920960457,-1.46460253109724
2.29191735318035,-1.28588712821541
2.37096064915333,-1.37889041789066
2.45272997825729,-1.53286736265577
2.53731935550694,-1.48068935099069
2.62482603829242,-1.53286736265577
2.71535063820193,-1.59218136387175
2.80899723670077,-1.5237239832159
2.90587350479992,-1.58171593019358
3.00609082685178,-1.62518162397467
3.10976442861529,-1.67348630354923
3.21701350973777,-1.5615125441053
3.32796138080581,-1.60290522926352
3.44273560512269,-1.7736014564325
3.56146814537542,-1.58171593019358
3.68429551536003,-1.59218136387175
3.81135893693951,-1.72784396587182
3.94280450241495,-1.7736014564325
4.07878334249638,-1.6864512807136
4.21945180006672,-1.71360352675721
4.36497160993838,-1.84323738457389
4.51551008480931,-1.86254253976928
4.67124030763225,-1.86254253976928
4.8323413306184,-1.94969271548818
4.99899838110431,-1.88274592585756
5.17140307451864,-1.92621161963865
5.34975363469373,-1.9039352249275
5.53425512177519,-2.09102186828465
5.72511966799166,-1.84323738457389
5.92256672155571,-1.78999187262067
6.12682329897636,-1.86254253976928
6.33812424607338,-2.09102186828465
6.55671250799333,-2.0288739615358
